Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1686531961,2023-06-12T01:06:01Z,ANA211,"35.54538,139.770813",0,3,239
1686532329,2023-06-12T01:12:09Z,ANA211,"35.545719,139.771667",0,0,146
1686532367,2023-06-12T01:12:47Z,ANA211,"35.545963,139.773148",0,8,61
1686532412,2023-06-12T01:13:32Z,ANA211,"35.546986,139.775406",0,0,67
1686532440,2023-06-12T01:14:00Z,ANA211,"35.545807,139.776566",0,0,151
1686532494,2023-06-12T01:14:54Z,ANA211,"35.546429,139.774124",0,0,149
1686532583,2023-06-12T01:16:23Z,ANA211,"35.54084,139.781174",0,15,67
1686532607,2023-06-12T01:16:47Z,ANA211,"35.541855,139.783279",0,22,59
1686532620,2023-06-12T01:17:00Z,ANA211,"35.542587,139.784836",0,26,59
1686532650,2023-06-12T01:17:30Z,ANA211,"35.54438,139.78862",0,23,59
1686532689,2023-06-12T01:18:09Z,ANA211,"35.546497,139.793076",0,25,61
1686532751,2023-06-12T01:19:11Z,ANA211,"35.546894,139.797485",0,14,151
1686532824,2023-06-12T01:20:24Z,ANA211,"35.541824,139.801071",0,20,149
1686532853,2023-06-12T01:20:53Z,ANA211,"35.539455,139.80275",0,16,149
1686532867,2023-06-12T01:21:07Z,ANA211,"35.539131,139.803604",0,12,90
1686532888,2023-06-12T01:21:28Z,ANA211,"35.539585,139.804565",0,8,59
1686532922,2023-06-12T01:22:02Z,ANA211,"35.540417,139.804626",0,0,329
1686532975,2023-06-12T01:22:55Z,ANA211,"35.564236,139.787643",325,197,329
1686532997,2023-06-12T01:23:17Z,ANA211,"35.581226,139.775955",1500,198,336
1686533008,2023-06-12T01:23:28Z,ANA211,"35.591095,139.773682",1950,199,358
1686533018,2023-06-12T01:23:38Z,ANA211,"35.599915,139.776016",2225,201,21
1686533030,2023-06-12T01:23:50Z,ANA211,"35.609016,139.784714",2550,205,46
1686533042,2023-06-12T01:24:02Z,ANA211,"35.616421,139.795593",2900,209,51
1686533053,2023-06-12T01:24:13Z,ANA211,"35.623169,139.806229",3250,212,52
1686533074,2023-06-12T01:24:34Z,ANA211,"35.634945,139.825455",3650,232,53
1686533096,2023-06-12T01:24:56Z,ANA211,"35.654358,139.846024",4000,251,24
1686533112,2023-06-12T01:25:12Z,ANA211,"35.673752,139.851547",4425,262,10
1686533128,2023-06-12T01:25:28Z,ANA211,"35.691696,139.85527",4700,275,7
1686533144,2023-06-12T01:25:44Z,ANA211,"35.711197,139.850342",5050,287,335
1686533160,2023-06-12T01:26:00Z,ANA211,"35.728889,139.836731",5400,300,324
1686533184,2023-06-12T01:26:24Z,ANA211,"35.763885,139.820419",6100,325,358
1686533200,2023-06-12T01:26:40Z,ANA211,"35.786591,139.825867",6750,334,18
1686533215,2023-06-12T01:26:55Z,ANA211,"35.810852,139.837189",7425,337,22
1686533267,2023-06-12T01:27:47Z,ANA211,"35.885677,139.875885",9550,342,20
1686533287,2023-06-12T01:28:07Z,ANA211,"35.917751,139.879807",10225,343,355
1686533304,2023-06-12T01:28:24Z,ANA211,"35.943832,139.871811",10675,350,339
1686533331,2023-06-12T01:28:51Z,ANA211,"35.982971,139.859222",11200,370,355
1686533348,2023-06-12T01:29:08Z,ANA211,"36.014374,139.863281",11775,380,15
1686533364,2023-06-12T01:29:24Z,ANA211,"36.04158,139.875122",12800,369,19
1686533447,2023-06-12T01:30:47Z,ANA211,"36.173042,139.938705",16025,373,31
1686533464,2023-06-12T01:31:04Z,ANA211,"36.195621,139.965408",16525,384,51
1686533480,2023-06-12T01:31:20Z,ANA211,"36.207539,139.995865",16925,396,72
1686533502,2023-06-12T01:31:42Z,ANA211,"36.216522,140.045532",17450,404,78
1686533592,2023-06-12T01:33:12Z,ANA211,"36.243576,140.25415",19675,421,96
1686533610,2023-06-12T01:33:30Z,ANA211,"36.233143,140.296402",20050,417,114
1686533629,2023-06-12T01:33:49Z,ANA211,"36.2108,140.332718",20475,410,136
1686533646,2023-06-12T01:34:06Z,ANA211,"36.186916,140.357239",20750,414,140
1686533746,2023-06-12T01:35:46Z,ANA211,"36.027283,140.510223",22375,451,141
1686533875,2023-06-12T01:37:55Z,ANA211,"35.814743,140.715179",25025,469,142
1686533926,2023-06-12T01:38:46Z,ANA211,"35.728703,140.81282",25925,484,126
1686533942,2023-06-12T01:39:02Z,ANA211,"35.712753,140.84816",26125,495,114
1686533959,2023-06-12T01:39:19Z,ANA211,"35.697746,140.896439",26275,503,110
1686534078,2023-06-12T01:41:18Z,ANA211,"35.608505,141.212418",28400,518,99
1686534096,2023-06-12T01:41:36Z,ANA211,"35.604034,141.276993",28575,525,92
1686534115,2023-06-12T01:41:55Z,ANA211,"35.60939,141.334839",28750,535,79
1686534133,2023-06-12T01:42:13Z,ANA211,"35.621586,141.384338",28900,542,68
1686534154,2023-06-12T01:42:34Z,ANA211,"35.646633,141.442841",29200,546,57
1686534226,2023-06-12T01:43:46Z,ANA211,"35.739689,141.634872",30475,546,62
1686534360,2023-06-12T01:46:00Z,ANA211,"35.885071,142.012314",31000,547,64
1686534506,2023-06-12T01:48:26Z,ANA211,"36.039158,142.420044",31000,546,65
1686534643,2023-06-12T01:50:43Z,ANA211,"36.185074,142.810654",31000,547,65
1686534776,2023-06-12T01:52:56Z,ANA211,"36.324463,143.188354",31000,541,65
1686534906,2023-06-12T01:55:06Z,ANA211,"36.457989,143.554611",31000,537,65
1686535038,2023-06-12T01:57:18Z,ANA211,"36.592346,143.927536",31000,539,66
1686535169,2023-06-12T01:59:29Z,ANA211,"36.723804,144.296707",31000,538,66
1686535301,2023-06-12T02:01:41Z,ANA211,"36.856571,144.674118",31000,545,66
1686535442,2023-06-12T02:04:02Z,ANA211,"36.999161,145.08493",31000,548,66
1686535573,2023-06-12T02:06:13Z,ANA211,"37.130035,145.467224",31000,550,66
1686535703,2023-06-12T02:08:23Z,ANA211,"37.238205,145.857483",31000,550,75
1686535812,2023-06-12T02:10:12Z,ANA211,"37.306358,146.185928",31000,549,75
1686541533,2023-06-12T03:45:33Z,ANA211,"47.196064,159.125977",31000,500,42
1686545653,2023-06-12T04:54:13Z,ANA211,"52.943974,170.150757",31004,462,49
1686551672,2023-06-12T06:34:32Z,ANA211,"62.029694,-173.304947",33000,458,52
1686551803,2023-06-12T06:36:43Z,ANA211,"62.196957,-172.836914",33000,456,52
1686551930,2023-06-12T06:38:50Z,ANA211,"62.358078,-172.376205",33000,456,53
1686552058,2023-06-12T06:40:58Z,ANA211,"62.517105,-171.912338",33000,456,53
1686552130,2023-06-12T06:42:10Z,ANA211,"62.611588,-171.658524",33000,451,41
1686552144,2023-06-12T06:42:24Z,ANA211,"62.634453,-171.620178",33000,450,35
1686552157,2023-06-12T06:42:37Z,ANA211,"62.655716,-171.589966",33000,452,32
1686552288,2023-06-12T06:44:48Z,ANA211,"62.887894,-171.265564",33000,453,32
1686552421,2023-06-12T06:47:01Z,ANA211,"63.120972,-170.933533",33000,454,32
1686552551,2023-06-12T06:49:11Z,ANA211,"63.349823,-170.60141",33000,453,33
1686552681,2023-06-12T06:51:21Z,ANA211,"63.577274,-170.265015",33000,455,33
1686552814,2023-06-12T06:53:34Z,ANA211,"63.809525,-169.914337",33000,453,33
1686552941,2023-06-12T06:55:41Z,ANA211,"64.029022,-169.576508",33000,454,34
1686553119,2023-06-12T06:58:39Z,ANA211,"64.305435,-169.142441",33000,450,29
1686553287,2023-06-12T07:01:27Z,ANA211,"64.628998,-168.618607",33000,474,35
1686553415,2023-06-12T07:03:35Z,ANA211,"64.852715,-168.247955",33000,467,35
1686553545,2023-06-12T07:05:45Z,ANA211,"65.093765,-167.922623",33000,472,23
1686553675,2023-06-12T07:07:55Z,ANA211,"65.356224,-167.655182",33000,471,23
1686553802,2023-06-12T07:10:02Z,ANA211,"65.609848,-167.391357",33000,476,23
1686553932,2023-06-12T07:12:12Z,ANA211,"65.873245,-167.111084",33000,480,23
1686554064,2023-06-12T07:14:24Z,ANA211,"66.14193,-166.81868",33000,485,24
1686554193,2023-06-12T07:16:33Z,ANA211,"66.406441,-166.524139",33000,488,24
1686554329,2023-06-12T07:18:49Z,ANA211,"66.685661,-166.205536",33000,492,24
1686554460,2023-06-12T07:21:00Z,ANA211,"66.956596,-165.888687",33000,496,24
1686554589,2023-06-12T07:23:09Z,ANA211,"67.22525,-165.566833",33000,500,25
1686554719,2023-06-12T07:25:19Z,ANA211,"67.49469,-165.235748",33000,500,25
1686554849,2023-06-12T07:27:29Z,ANA211,"67.765732,-164.894424",33000,503,25
1686554979,2023-06-12T07:29:39Z,ANA211,"68.037956,-164.542496",33000,508,26
1686555146,2023-06-12T07:32:26Z,ANA211,"68.365936,-164.090851",33000,510,27
1686555277,2023-06-12T07:34:37Z,ANA211,"68.665619,-163.694092",33000,511,26
1686555459,2023-06-12T07:37:39Z,ANA211,"69.047119,-163.151779",33000,513,27
1686555692,2023-06-12T07:41:32Z,ANA211,"69.505943,-162.457779",33000,520,25
1686555881,2023-06-12T07:44:41Z,ANA211,"69.936539,-161.800461",33000,523,28
1686556121,2023-06-12T07:48:41Z,ANA211,"70.404045,-161.029739",33000,520,30
1686556355,2023-06-12T07:52:35Z,ANA211,"70.899734,-160.162582",33000,530,31
1686556530,2023-06-12T07:55:30Z,ANA211,"71.281723,-159.440231",33000,530,31
1686556757,2023-06-12T07:59:17Z,ANA211,"71.717896,-158.525711",33000,510,32
1686556952,2023-06-12T08:02:32Z,ANA211,"72.085732,-157.735443",33000,510,36
1686557149,2023-06-12T08:05:49Z,ANA211,"72.489975,-156.829056",34000,510,34
1686557375,2023-06-12T08:09:35Z,ANA211,"72.935066,-155.74408",34000,498,36
1686557505,2023-06-12T08:11:45Z,ANA211,"73.174576,-155.134338",34000,497,36
1686557732,2023-06-12T08:15:32Z,ANA211,"73.56942,-154.084137",34000,500,37
1686558051,2023-06-12T08:20:51Z,ANA211,"74.111771,-152.499725",34000,490,40
1686559411,2023-06-12T08:43:31Z,ANA211,"76.414032,-143.942703",34000,492,43
1686563187,2023-06-12T09:46:27Z,ANA211,"79.898254,-104.412231",35000,504,80
1686563316,2023-06-12T09:48:36Z,ANA211,"79.944534,-102.715027",35000,503,81
1686563448,2023-06-12T09:50:48Z,ANA211,"79.982567,-100.979919",35000,503,83
1686563578,2023-06-12T09:52:58Z,ANA211,"80.021431,-99.258728",35000,504,80
1686563707,2023-06-12T09:55:07Z,ANA211,"80.0644,-97.554932",35000,502,82
1686563845,2023-06-12T09:57:25Z,ANA211,"80.100723,-95.712341",35000,501,84
1686563974,2023-06-12T09:59:34Z,ANA211,"80.125618,-93.976746",35000,502,86
1686564104,2023-06-12T10:01:44Z,ANA211,"80.141678,-92.229004",35000,501,87
1686564235,2023-06-12T10:03:55Z,ANA211,"80.148613,-90.4776",35000,500,89
1686564366,2023-06-12T10:06:06Z,ANA211,"80.146568,-88.713074",35000,498,91
1686564496,2023-06-12T10:08:16Z,ANA211,"80.135422,-86.972443",35000,501,92
1686564622,2023-06-12T10:10:22Z,ANA211,"80.116074,-85.280457",35000,501,94
1686564749,2023-06-12T10:12:29Z,ANA211,"80.087959,-83.577271",35000,502,96
1686564882,2023-06-12T10:14:42Z,ANA211,"80.049736,-81.820068",35000,498,98
1686564993,2023-06-12T10:16:33Z,ANA211,"80.010818,-80.366089",35000,498,99
1686565147,2023-06-12T10:19:07Z,ANA211,"80.0224,-78.35257",35000,494,86
1686565394,2023-06-12T10:23:14Z,ANA211,"80.042755,-75.095825",35000,495,89
1686572446,2023-06-12T12:20:46Z,ANA211,"70.162643,-20.311661",34996,510,137
1686573463,2023-06-12T12:37:43Z,ANA211,"68.082878,-17.144558",35000,492,153
1686573604,2023-06-12T12:40:04Z,ANA211,"67.798164,-16.765791",35000,488,153
1686573731,2023-06-12T12:42:11Z,ANA211,"67.542664,-16.434797",35000,487,153
1686573857,2023-06-12T12:44:17Z,ANA211,"67.28875,-16.113573",35000,485,154
1686573983,2023-06-12T12:46:23Z,ANA211,"67.035187,-15.80025",35000,483,154
1686574110,2023-06-12T12:48:30Z,ANA211,"66.779297,-15.49132",35000,484,154
1686574233,2023-06-12T12:50:33Z,ANA211,"66.531464,-15.198869",35000,478,155
1686574361,2023-06-12T12:52:41Z,ANA211,"66.276169,-14.904442",35000,476,155
1686574485,2023-06-12T12:54:45Z,ANA211,"66.028625,-14.625191",35000,474,155
1686574610,2023-06-12T12:56:50Z,ANA211,"65.777069,-14.347343",35000,477,155
1686574737,2023-06-12T12:58:57Z,ANA211,"65.524063,-14.073944",35000,479,156
1686574866,2023-06-12T13:01:06Z,ANA211,"65.264328,-13.799268",36275,473,156
1686574994,2023-06-12T13:03:14Z,ANA211,"65.014343,-13.540421",37000,458,156
1686575121,2023-06-12T13:05:21Z,ANA211,"64.767151,-13.289612",37000,460,156
1686575245,2023-06-12T13:07:25Z,ANA211,"64.526711,-13.050385",37000,455,157
1686575373,2023-06-12T13:09:33Z,ANA211,"64.279953,-12.809729",37000,457,157
1686575503,2023-06-12T13:11:43Z,ANA211,"64.026688,-12.567591",37000,461,157
1686575628,2023-06-12T13:13:48Z,ANA211,"63.777878,-12.334161",37000,465,157
1686576683,2023-06-12T13:31:23Z,ANA211,"61.650852,-10.506287",37000,471,159
1686576816,2023-06-12T13:33:36Z,ANA211,"61.378754,-10.29185",37000,475,159
1686576946,2023-06-12T13:35:46Z,ANA211,"61.111591,-10.085246",37000,474,159
1686577042,2023-06-12T13:37:22Z,ANA211,"60.92487,-9.886322",37000,483,143
1686577171,2023-06-12T13:39:31Z,ANA211,"60.691132,-9.553465",37000,480,147
1686577299,2023-06-12T13:41:39Z,ANA211,"60.447754,-9.251862",37000,480,148
1686577429,2023-06-12T13:43:49Z,ANA211,"60.201462,-8.952248",37000,476,148
1686577560,2023-06-12T13:46:00Z,ANA211,"59.957279,-8.659286",37000,474,149
1686577690,2023-06-12T13:48:10Z,ANA211,"59.711998,-8.370161",37000,478,149
1686577820,2023-06-12T13:50:20Z,ANA211,"59.465469,-8.084564",37000,476,149
1686577950,2023-06-12T13:52:30Z,ANA211,"59.218323,-7.803223",37000,474,149
1686578080,2023-06-12T13:54:40Z,ANA211,"58.972595,-7.527832",37000,474,150
1686578208,2023-06-12T13:56:48Z,ANA211,"58.728672,-7.259308",37000,479,150
1686578337,2023-06-12T13:58:57Z,ANA211,"58.480457,-6.990326",37000,480,150
1686578466,2023-06-12T14:01:06Z,ANA211,"58.232056,-6.725647",37000,478,150
1686578595,2023-06-12T14:03:15Z,ANA211,"57.982819,-6.464036",37000,477,151
1686578722,2023-06-12T14:05:22Z,ANA211,"57.737625,-6.211212",37000,478,151
1686578855,2023-06-12T14:07:35Z,ANA211,"57.480843,-5.950337",37000,479,151
1686578985,2023-06-12T14:09:45Z,ANA211,"57.22879,-5.698299",37000,474,151
1686579114,2023-06-12T14:11:54Z,ANA211,"56.981552,-5.455055",37000,471,151
1686579245,2023-06-12T14:14:05Z,ANA211,"56.728603,-5.209734",37000,470,152
1686579376,2023-06-12T14:16:16Z,ANA211,"56.477875,-4.972895",37000,471,158
1686579394,2023-06-12T14:16:34Z,ANA211,"56.438599,-4.950839",37000,470,165
1686579465,2023-06-12T14:17:45Z,ANA211,"56.29134,-4.885998",37000,468,166
1686579595,2023-06-12T14:19:55Z,ANA211,"56.018681,-4.765577",37000,468,166
1686579725,2023-06-12T14:22:05Z,ANA211,"55.748726,-4.641209",37000,468,159
1686579749,2023-06-12T14:22:29Z,ANA211,"55.700455,-4.601607",37000,470,151
1686579763,2023-06-12T14:22:43Z,ANA211,"55.673401,-4.57231",37000,471,146
1686579887,2023-06-12T14:24:47Z,ANA211,"55.44907,-4.313507",37000,466,146
1686580014,2023-06-12T14:26:54Z,ANA211,"55.221817,-4.056056",37000,466,147
1686580144,2023-06-12T14:29:04Z,ANA211,"54.986298,-3.792788",37000,468,147
1686580275,2023-06-12T14:31:15Z,ANA211,"54.745712,-3.52761",37000,469,147
1686580406,2023-06-12T14:33:26Z,ANA211,"54.504196,-3.26527",37000,472,147
1686580534,2023-06-12T14:35:34Z,ANA211,"54.255569,-3.057966",37000,472,160
1686580662,2023-06-12T14:37:42Z,ANA211,"53.992218,-2.892878",37000,478,159
1686580789,2023-06-12T14:39:49Z,ANA211,"53.729874,-2.728219",37000,476,158
1686580914,2023-06-12T14:41:54Z,ANA211,"53.472973,-2.561996",37000,474,159
1686581042,2023-06-12T14:44:02Z,ANA211,"53.216171,-2.397531",37000,466,158
1686581173,2023-06-12T14:46:13Z,ANA211,"52.951588,-2.23046",34675,465,159
1686581245,2023-06-12T14:47:25Z,ANA211,"52.811001,-2.156695",32875,436,170
1686581347,2023-06-12T14:49:07Z,ANA211,"52.613159,-2.101898",29750,412,170
1686581479,2023-06-12T14:51:19Z,ANA211,"52.371735,-2.036667",25850,387,170
1686581611,2023-06-12T14:53:31Z,ANA211,"52.14537,-1.97464",22100,368,170
1686581656,2023-06-12T14:54:16Z,ANA211,"52.072952,-1.945801",20800,362,160
